UV254(mJ cm-2),HOCl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),MeOH(mM),ONP(mg/L),NO2-(mM),HCO3-(mM),Cl-(mM),SO42-(mM),Kobs (min-1)
1434,10,0,3,0,0,10,0,0,0,5,0.0411
1434,10,0,3,0,0,10,0,0,0,10,0.0402
1434,10,0,3,0,0,10,0,0,0,13,0.0395
1434,10,0,3,0,0,10,0,0,0,17,0.0378
1434,10,0,3,0,0,10,0,0,0,20,0.0365
1434,10,0,3,0,0,10,0,0,0,23,0.036
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,4.48,3,0,0,10,0,0,1,0,0.1064
1434,10,4.48,3,0,0,10,0,0,8,0,0.1156
1434,10,4.48,3,0,0,10,0,0,15,0,0.1205
1434,10,4.48,3,0,0,10,0,0,18,0,0.105
1434,10,4.48,3,0,0,10,0,0,22,0,0.0964
1434,10,0,3,0,0,10,0,0,0,0,0.0421
1434,10,0,3,0,0,10,0,0,1,0,0.0425
1434,10,0,3,0,0,10,0,0,8,0,0.0429
1434,10,0,3,0,0,10,0,0,15,0,0.04305
1434,10,0,3,0,0,10,0,0,18,0,0.04203
1434,10,0,3,0,0,10,0,0,22,0,0.0416
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,4.48,3,0,0,10,1,0,0,0,0.09625
1434,10,4.48,3,0,0,10,3,0,0,0,0.0956
1434,10,4.48,3,0,0,10,5,0,0,0,0.09521
1434,10,4.48,3,0,0,10,8,0,0,0,0.0945
1434,10,4.48,3,0,0,10,12,0,0,0,0.0927
1434,10,4.48,3,0,0,10,15,0,0,0,0.0915
1434,10,0,3,0,0,10,0,0,0,0,0.0421
1434,10,0,3,0,0,10,1,0,0,0,0.0419
1434,10,0,3,0,0,10,3,0,0,0,0.0412
1434,10,0,3,0,0,10,5,0,0,0,0.0401
1434,10,0,3,0,0,10,8,0,0,0,0.0396
1434,10,0,3,0,0,10,12,0,0,0,0.03944
1434,10,0,3,0,0,10,15,0,0,0,0.03941
1434,10,4.48,5,0,0,10,0,0,0,0,0.068
1434,10,4.48,5,16,0,10,0,0,0,0,0.0672
1434,10,4.48,5,32,0,10,0,0,0,0,0.0666
1434,10,4.48,5,48,0,10,0,0,0,0,0.0658
1434,10,4.48,5,64,0,10,0,0,0,0,0.0649
1434,10,4.48,5,70,0,10,0,0,0,0,0.0641
1434,10,4.48,5,86,0,10,0,0,0,0,0.0632
1434,10,4.48,5,100,0,10,0,0,0,0,0.0619
1434,10,4.48,5,0,5,10,0,0,0,0,0.066
1434,10,4.48,5,0,10,10,0,0,0,0,0.0654
1434,10,4.48,5,0,15,10,0,0,0,0,0.0649
1434,10,4.48,5,0,20,10,0,0,0,0,0.0638
1434,10,4.48,5,0,25,10,0,0,0,0,0.0624
1434,10,4.48,5,0,30,10,0,0,0,0,0.0599
1434,10,4.48,5,0,0,10,1,0,0,0,0.0678
1434,10,4.48,5,0,0,10,3,0,0,0,0.0672
1434,10,4.48,5,0,0,10,5,0,0,0,0.0665
1434,10,4.48,5,0,0,10,8,0,0,0,0.0652
1434,10,4.48,5,0,0,10,12,0,0,0,0.0643
1434,10,4.48,5,0,0,10,15,0,0,0,0.0629
1434,10,4.48,5,0,0,10,0,1,0,0,0.0677
1434,10,4.48,5,0,0,10,0,3,0,0,0.0668
1434,10,4.48,5,0,0,10,0,5,0,0,0.0653
1434,10,4.48,5,0,0,10,0,8,0,0,0.0646
1434,10,4.48,5,0,0,10,0,11,0,0,0.0635
1434,10,4.48,5,0,0,10,0,16,0,0,0.0623
1434,10,4.48,5,0,0,10,0,0,1,0,0.0682
1434,10,4.48,5,0,0,10,0,0,8,0,0.0687
1434,10,4.48,5,0,0,10,0,0,15,0,0.069
1434,10,4.48,5,0,0,10,0,0,18,0,0.0688
1434,10,4.48,5,0,0,10,0,0,22,0,0.0682
1434,10,4.48,5,0,0,10,0,0,0,1,0.0677
1434,10,4.48,5,0,0,10,0,0,0,5,0.0672
1434,10,4.48,5,0,0,10,0,0,0,10,0.0663
1434,10,4.48,5,0,0,10,0,0,0,13,0.0651
1434,10,4.48,5,0,0,10,0,0,0,17,0.0644
1434,10,4.48,5,0,0,10,0,0,0,20,0.0639
1434,10,4.48,5,0,0,10,0,0,0,23,0.0635
1434,10,4.48,7,0,0,10,0,0,0,0,0.0351
1434,10,4.48,7,16,0,10,0,0,0,0,0.0341
1434,10,4.48,7,32,0,10,0,0,0,0,0.0335
1434,10,4.48,7,48,0,10,0,0,0,0,0.0328
1434,10,4.48,7,64,0,10,0,0,0,0,0.0322
1434,10,4.48,7,70,0,10,0,0,0,0,0.0315
1434,10,4.48,7,86,0,10,0,0,0,0,0.0299
1434,10,4.48,7,100,0,10,0,0,0,0,0.0294
1434,10,4.48,7,0,5,10,0,0,0,0,0.0338
1434,10,4.48,7,0,10,10,0,0,0,0,0.0326
1434,10,4.48,7,0,15,10,0,0,0,0,0.0314
1434,10,4.48,7,0,20,10,0,0,0,0,0.0306
1434,10,4.48,7,0,25,10,0,0,0,0,0.0298
1434,10,4.48,7,0,30,10,0,0,0,0,0.0289
1434,10,4.48,7,0,0,10,1,0,0,0,0.0348
1434,10,4.48,7,0,0,10,3,0,0,0,0.0344
1434,10,4.48,7,0,0,10,5,0,0,0,0.0339
1434,10,4.48,7,0,0,10,8,0,0,0,0.0332
1434,10,4.48,7,0,0,10,12,0,0,0,0.038
1434,10,4.48,7,0,0,10,15,0,0,0,0.0322
1434,10,4.48,7,0,0,10,0,1,0,0,0.0349
1434,10,4.48,7,0,0,10,0,3,0,0,0.0344
1434,10,4.48,7,0,0,10,0,5,0,0,0.0339
1434,10,4.48,7,0,0,10,0,8,0,0,0.0331
1434,10,4.48,7,0,0,10,0,11,0,0,0.0324
1434,10,4.48,7,0,0,10,0,16,0,0,0.0314
1434,10,4.48,7,0,0,10,0,0,1,0,0.0352
1434,10,4.48,7,0,0,10,0,0,8,0,0.0354
1434,10,4.48,7,0,0,10,0,0,15,0,0.0355
1434,10,4.48,7,0,0,10,0,0,18,0,0.0355
1434,10,4.48,7,0,0,10,0,0,22,0,0.0352
1434,10,4.48,7,0,0,10,0,0,0,1,0.0349
1434,10,4.48,7,0,0,10,0,0,0,5,0.0345
1434,10,4.48,7,0,0,10,0,0,0,10,0.0336
1434,10,4.48,7,0,0,10,0,0,0,13,0.0329
1434,10,4.48,7,0,0,10,0,0,0,17,0.0322
1434,10,4.48,7,0,0,10,0,0,0,20,0.0317
1434,10,4.48,7,0,0,10,0,0,0,23,0.0315
717,10,4.48,3,0,5,10,0,0,0,0,0.086423
717,10,4.48,3,0,5,10,1,0,0,0,0.0859
717,10,4.48,3,0,5,10,3,0,0,0,0.0851
717,10,4.48,3,0,5,10,5,0,0,0,0.0845
717,10,4.48,3,0,5,10,8,0,0,0,0.0835
717,10,4.48,3,0,5,10,12,0,0,0,0.0828
717,10,4.48,3,0,5,10,15,0,0,0,0.0821
717,10,4.48,3,0,5,10,0,1,0,0,0.0859
717,10,4.48,3,0,5,10,0,3,0,0,0.0849
717,10,4.48,3,0,5,10,0,5,0,0,0.0844
717,10,4.48,3,0,5,10,0,8,0,0,0.0836
717,10,4.48,3,0,5,10,0,11,0,0,0.0829
717,10,4.48,3,0,5,10,0,16,0,0,0.0817
717,10,4.48,3,0,5,10,0,0,1,0,0.0866
717,10,4.48,3,0,5,10,0,0,8,0,0.0872
717,10,4.48,3,0,5,10,0,0,15,0,0.0879
717,10,4.48,3,0,5,10,0,0,18,0,0.0875
717,10,4.48,3,0,5,10,0,0,22,0,0.0865
717,10,4.48,3,0,5,10,0,0,0,1,0.0861
717,10,4.48,3,0,5,10,0,0,0,5,0.0856
717,10,4.48,3,0,5,10,0,0,0,10,0.0851
717,10,4.48,3,0,5,10,0,0,0,13,0.0844
717,10,4.48,3,0,5,10,0,0,0,17,0.0837
717,10,4.48,3,0,5,10,0,0,0,20,0.0831
717,10,4.48,3,0,5,10,0,0,0,23,0.0824
1434,10,4.48,3,0,0,15,0,0,0,0,0.054
1434,10,4.48,3,0,0,15,1,0,0,0,0.0538
1434,10,4.48,3,0,0,15,3,0,0,0,0.0533
1434,10,4.48,3,0,0,15,5,0,0,0,0.0525
1434,10,4.48,3,0,0,15,8,0,0,0,0.052
1434,10,4.48,3,0,0,15,12,0,0,0,0.0516
1434,10,4.48,3,0,0,15,15,0,0,0,0.0508
1434,10,4.48,3,0,0,15,0,1,0,0,0.0536
1434,10,4.48,3,0,0,15,0,3,0,0,0.0529
1434,10,4.48,3,0,0,15,0,5,0,0,0.0521
1434,10,4.48,3,0,0,15,0,8,0,0,0.0514
1434,10,4.48,3,0,0,15,0,11,0,0,0.0511
1434,10,4.48,3,0,0,15,0,16,0,0,0.0506
1434,10,4.48,3,0,0,15,0,0,1,0,0.0542
1434,10,4.48,3,0,0,15,0,0,8,0,0.0545
1434,10,4.48,3,0,0,15,0,0,15,0,0.0551
1434,10,4.48,3,0,0,15,0,0,18,0,0.0553
1434,10,4.48,3,0,0,15,0,0,22,0,0.0549
