UV254(mJ cm-2),NH2Cl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),TBA(mM),ONP(mg/L),HCO3-(mM),Cl-(mM),NO2-(mM),NO3-(mM),Kobs (min-1)
1638,10,9.1,3,0,0,15,0,0,0,0,0.0715
1638,10,9.1,3,0,0,15,0,0,0,3,0.0718
1638,10,9.1,3,0,0,15,0,0,0,6,0.073
1638,10,9.1,3,0,0,15,0,0,0,9,0.0739
1638,10,9.1,3,0,0,15,0,0,0,12,0.0743
1638,10,9.1,3,0,0,15,0,0,0,15,0.0749
1638,10,9.1,3,0,0,15,0,0,0,18,0.075
1638,10,9.1,3,0,0,15,0,0,0,21,0.0744
1638,10,9.1,3,0,0,15,0,0,0,24,0.0735
1638,10,9.1,5,0,0,5,0,0,0,0,0.082
1638,10,9.1,5,0,0,5,6,0,0,0,0.077
1638,10,9.1,5,0,0,5,8,0,0,0,0.072
1638,10,9.1,5,0,0,5,10,0,0,0,0.064
1638,10,9.1,5,0,0,5,12,0,0,0,0.053
1638,10,9.1,5,0,0,5,14,0,0,0,0.043
1638,10,9.1,5,0,0,5,16,0,0,0,0.042
1638,10,9.1,5,0,0,5,18,0,0,0,0.039
1638,10,9.1,5,0,0,5,24,0,0,0,0.03
1638,10,9.1,5,0,0,5,0,0,0,0,0.082
1638,10,9.1,5,0,0,5,0,1,0,0,0.085
1638,10,9.1,5,0,0,5,0,3,0,0,0.088
1638,10,9.1,5,0,0,5,0,6,0,0,0.095
1638,10,9.1,5,0,0,5,0,9,0,0,0.099
1638,10,9.1,5,0,0,5,0,11,0,0,0.098
1638,10,9.1,5,0,0,5,0,15,0,0,0.093
1638,10,9.1,5,0,0,5,0,0,0,0,0.082
1638,10,9.1,5,0,0,5,0,0,1,0,0.078
1638,10,9.1,5,0,0,5,0,0,3,0,0.074
1638,10,9.1,5,0,0,5,0,0,5,0,0.069
1638,10,9.1,5,0,0,5,0,0,8,0,0.066
1638,10,9.1,5,0,0,5,0,0,10,0,0.063
1638,10,9.1,5,0,0,5,0,0,13,0,0.059
1638,10,9.1,5,0,0,5,0,0,0,0,0.082
1638,10,9.1,5,0,0,5,0,0,0,3,0.088
1638,10,9.1,5,0,0,5,0,0,0,6,0.094
1638,10,9.1,5,0,0,5,0,0,0,9,0.097
1638,10,9.1,5,0,0,5,0,0,0,12,0.099
1638,10,9.1,5,0,0,5,0,0,0,15,0.105
1638,10,9.1,5,0,0,5,0,0,0,18,0.105
1638,10,9.1,5,0,0,5,0,0,0,21,0.104
1638,10,9.1,5,0,0,5,0,0,0,24,0.099
1638,10,9.1,7,0,0,5,0,0,0,0,0.047
1638,10,9.1,7,0,0,5,6,0,0,0,0.043
1638,10,9.1,7,0,0,5,8,0,0,0,0.039
1638,10,9.1,7,0,0,5,10,0,0,0,0.033
1638,10,9.1,7,0,0,5,12,0,0,0,0.027
1638,10,9.1,7,0,0,5,14,0,0,0,0.024
1638,10,9.1,7,0,0,5,16,0,0,0,0.022
1638,10,9.1,7,0,0,5,18,0,0,0,0.017
1638,10,9.1,7,0,0,5,24,0,0,0,0.011
1638,10,9.1,7,0,0,5,0,0,0,0,0.047
1638,10,9.1,7,0,0,5,0,1,0,0,0.052
1638,10,9.1,7,0,0,5,0,3,0,0,0.054
1638,10,9.1,7,0,0,5,0,6,0,0,0.061
1638,10,9.1,7,0,0,5,0,9,0,0,0.065
1638,10,9.1,7,0,0,5,0,11,0,0,0.066
1638,10,9.1,7,0,0,5,0,15,0,0,0.063
1638,10,9.1,7,0,0,5,0,0,0,0,0.047
1638,10,9.1,7,0,0,5,0,0,1,0,0.041
1638,10,9.1,7,0,0,5,0,0,3,0,0.036
1638,10,9.1,7,0,0,5,0,0,5,0,0.028
1638,10,9.1,7,0,0,5,0,0,8,0,0.021
1638,10,9.1,7,0,0,5,0,0,10,0,0.02
1638,10,9.1,7,0,0,5,0,0,13,0,0.0117
1638,10,9.1,7,0,0,5,0,0,0,0,0.047
1638,10,9.1,7,0,0,5,0,0,0,3,0.053
1638,10,9.1,7,0,0,5,0,0,0,6,0.057
1638,10,9.1,7,0,0,5,0,0,0,9,0.065
1638,10,9.1,7,0,0,5,0,0,0,12,0.069
1638,10,9.1,7,0,0,5,0,0,0,15,0.071
1638,10,9.1,7,0,0,5,0,0,0,18,0.072
1638,10,9.1,7,0,0,5,0,0,0,21,0.065
1638,10,9.1,7,0,0,5,0,0,0,24,0.061
1638,10,9.1,9,0,0,5,0,0,0,0,0.033
1638,10,9.1,9,0,0,5,6,0,0,0,0.027
1638,10,9.1,9,0,0,5,8,0,0,0,0.022
1638,10,9.1,9,0,0,5,10,0,0,0,0.017
1638,10,9.1,9,0,0,5,12,0,0,0,0.011
1638,10,9.1,9,0,0,5,14,0,0,0,0.0105
1638,10,9.1,9,0,0,5,16,0,0,0,0.0104
1638,10,9.1,9,0,0,5,18,0,0,0,0.0102
1638,10,9.1,9,0,0,5,24,0,0,0,0.0101
1638,10,9.1,9,0,0,5,0,0,0,0,0.033
1638,10,9.1,9,0,0,5,0,1,0,0,0.035
1638,10,9.1,9,0,0,5,0,3,0,0,0.039
1638,10,9.1,9,0,0,5,0,6,0,0,0.041
1638,10,9.1,9,0,0,5,0,9,0,0,0.042
1638,10,9.1,9,0,0,5,0,11,0,0,0.043
1638,10,9.1,9,0,0,5,0,15,0,0,0.039
1638,10,9.1,9,0,0,5,0,0,0,0,0.033
1638,10,9.1,9,0,0,5,0,0,1,0,0.029
1638,10,9.1,9,0,0,5,0,0,3,0,0.026
1638,10,9.1,9,0,0,5,0,0,5,0,0.024
1638,10,9.1,9,0,0,5,0,0,8,0,0.021
1638,10,9.1,9,0,0,5,0,0,10,0,0.0117
1638,10,9.1,9,0,0,5,0,0,13,0,0.0115
1638,10,9.1,9,0,0,5,0,0,0,0,0.033
1638,10,9.1,9,0,0,5,0,0,0,3,0.041
1638,10,9.1,9,0,0,5,0,0,0,6,0.045
1638,10,9.1,9,0,0,5,0,0,0,9,0.052
1638,10,9.1,9,0,0,5,0,0,0,12,0.054
1638,10,9.1,9,0,0,5,0,0,0,15,0.056
1638,10,9.1,9,0,0,5,0,0,0,18,0.062
1638,10,9.1,9,0,0,5,0,0,0,21,0.061
1638,10,9.1,9,0,0,5,0,0,0,24,0.056
702,10,9.1,3,0,0,5,0,0,0,0,0.0914
702,10,9.1,3,0,0,5,6,0,0,0,0.0911
702,10,9.1,3,0,0,5,8,0,0,0,0.0905
702,10,9.1,3,0,0,5,10,0,0,0,0.0901
702,10,9.1,3,0,0,5,12,0,0,0,0.0896
702,10,9.1,3,0,0,5,14,0,0,0,0.0884
702,10,9.1,3,0,0,5,16,0,0,0,0.0878
